CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
ZM,SAfr,-17,8.8,15.6,-51.3,5.4,31,-13.87
ZM,SAfr,-17.3,9.4,19.2,-39.4,10.6,31.21,-13.62
ZM,SAfr,-18.7,7.5,19.3,-43.7,9.9,31.21,-13.62
MW,SAfr,-20.8,5.6,15,-54.2,10.2,33.13,-12.91
MW,SAfr,-20.5,7.7,17.5,-44.1,10.8,33.13,-12.91
MW,SAfr,-20.3,6.2,15.8,-51.9,11.4,33.13,-12.91
MW,SAfr,-22.1,7.3,14.7,-54.4,12.8,35.25,-14.48
MW,SAfr,-22.2,6.1,18.6,-45.1,10.4,33.45,-11.02
MW,SAfr,-18.7,8.4,17.3,-38.7,10.6,33.13,-12.91
MW,SAfr,-20.4,6.4,14.9,-51,10.1,33.13,-12.91
MW,SAfr,-20.7,6.1,15.8,-57,10.2,33.62,-11.91
MW,SAfr,-17.3,6.8,15.6,-50.5,9.3,34.1,-12.91
MW,SAfr,-20.2,6.3,16.3,-47.3,11.3,33.13,-12.91
MW,SAfr,-21.6,5.9,14.7,-60.9,6.7,34.1,-12.91
ZA,SAfr,-21,11.1,18.9,-46.9,10.2,28.67,-25
ZA,SAfr,-19.8,11,17.9,-47,8.8,28.67,-25
MW,SAfr,-19.2,6,17.5,-50.5,10.9,33.13,-12.91
MW,SAfr,-22.2,6.3,16.4,-48.4,5,34.1,-12.91
ZA,SAfr,-19.4,9,17.7,-33.6,17.4,31.16,-22.83
MW,SAfr,-21.1,6.1,13.7,-57.7,10.2,33.13,-12.91
ZA,SAfr,-19.4,9,18.2,-41.8,16.1,22.69,-33.48
MW,SAfr,-19,5.7,16.5,-46.2,11,33.13,-12.91
MW,SAfr,-22.2,8.1,16.5,-55.9,11.3,35.51,-14.95
MW,SAfr,-19.7,8.1,15.6,-48.5,10.7,35.33,-14.95
MZ,SAfr,-18,8.9,15.5,-52.2,8.5,34.34,-18.66
MZ,SAfr,-19.3,9.4,16.9,-54.6,12.9,34.34,-18.66
MW,SAfr,-21.5,6.2,16.3,-52,6.1,34.1,-12.91
MW,SAfr,-19.6,7.6,16.4,-49.1,9,35.25,-14.48
MW,SAfr,-22.6,6.8,14.2,-59.6,8.3,34.46,-14.19
MW,SAfr,-20.1,9.5,14.8,-44.8,9.2,33.45,-11.02
MW,SAfr,-23,5.1,17.5,-44.5,7.6,34.1,-12.91
ZA,SAfr,-19.4,8.9,18.7,-23.8,16.9,26.31,-24.76
MW,SAfr,-22.6,5.9,14.7,-54.4,9.5,33.13,-12.91
MW,SAfr,-19.4,6.9,15.9,-57.5,10,33.13,-12.91
MW,SAfr,-21.1,5.8,15,-53,10.3,33.13,-12.91
